mheart,bheart
530,180
518,168
506,156
494,144
483,133
472,122
462,112
454,104
446,96
440,90
434,84
430,80
428,78
430,80
430,80
432,82
436,86
439,89
444,94
450,100
454,104
459,109
465,115
470,120
475,125
481,131
487,137
490,140
494,144
497,147
500,150
502,152
504,154
505,155
507,157
506,156
504,154
504,154
503,153
502,152
500,150
499,149
498,148
496,146
495,145
493,143
491,141
488,138
488,138
487,137
490,140
491,141
500,150
515,165
538,188
567,217
603,253
640,290
677,327
714,364
745,395
772,422
788,438
795,445
795,445
783,433
765,415
740,390
712,362
677,327
641,291
605,255
568,218
535,185
503,153
474,124
450,100
430,80
414,64
401,51
393,43
388,38
385,35
385,35
388,38
393,43
401,51
412,62
426,76
440,90
455,105
473,123
491,141
509,159
523,173
537,187
549,199
558,208
564,214
565,215
565,215
561,211
556,206
548,198
540,190
531,181
519,169
508,158
497,147
486,136
475,125
465,115
457,107
450,100
444,94
438,88
435,85
432,82
431,81
431,81
432,82
434,84
438,88
441,91
445,95
450,100
454,104
460,110
466,116
471,121
477,127
483,133
487,137
491,141
493,143
496,146
500,150
501,151
502,152
504,154
505,155
504,154
503,153
502,152
501,151
499,149
498,148
496,146
495,145
492,142
492,142
490,140
490,140
490,140
497,147
510,160
530,180
559,209
593,243
630,280
667,317
703,353
735,385
759,409
774,424
782,432
781,431
771,421
753,403
728,378
700,350
668,318
632,282
597,247
562,212
528,178
497,147
470,120
446,96
426,76
411,61
399,49
389,39
385,35
382,32
383,33
386,36
391,41
398,48
407,57
420,70
433,83
450,100
469,119
487,137
504,154
521,171
537,187
550,200
560,210
569,219
573,223
571,221
569,219
563,213
556,206
544,194
533,183
521,171
509,159
496,146
485,135
475,125
466,116
456,106
449,99
442,92
436,86
433,83
430,80
428,78
429,79
428,78
431,81
436,86
441,91
447,97
452,102
457,107
462,112
466,116
471,121
478,128
483,133
487,137
491,141
494,144
497,147
499,149
501,151
503,153
504,154
505,155
504,154
504,154
503,153
501,151
500,150
498,148
497,147
496,146
498,148
502,152
512,162
530,180
554,204
585,235
618,268
651,301
684,334
715,365
739,389
756,406
767,417
768,418
762,412
749,399
728,378
704,354
673,323
641,291
608,258
574,224
540,190
509,159
480,130
455,105
433,83
416,66
403,53
391,41
385,35
379,29
378,28
378,28
382,32
390,40
399,49
413,63
428,78
446,96
464,114
482,132
501,151
521,171
537,187
550,200
562,212
569,219
574,224
574,224
572,222
567,217
559,209
548,198
537,187
523,173
510,160
496,146
485,135
474,124
463,113
452,102
445,95
438,88
433,83
431,81
428,78
429,79
428,78
430,80
433,83
436,86
440,90
445,95
450,100
455,105
462,112
468,118
474,124
481,131
486,136
490,140
496,146
500,150
504,154
506,156
508,158
508,158
508,158
508,158
509,159
507,157
505,155
503,153
499,149
498,148
497,147
501,151
508,158
520,170
542,192
570,220
605,255
642,292
679,329
714,364
745,395
768,418
785,435
794,444
793,443
783,433
766,416
744,394
715,365
683,333
647,297
613,263
578,228
544,194
513,163
485,135
460,110
441,91
425,75
413,63
403,53
399,49
396,46
395,45
397,47
402,52
409,59
419,69
428,78
441,91
455,105
470,120
484,134
500,150
513,163
527,177
536,186
544,194
549,199
550,200
551,201
548,198
543,193
537,187
529,179
521,171
511,161
501,151
489,139
481,131
471,121
463,113
455,105
448,98
444,94
439,89
437,87
435,85
432,82
433,83
433,83
436,86
439,89
443,93
448,98
452,102
457,107
462,112
467,117
473,123
477,127
482,132
487,137
491,141
494,144
497,147
498,148
499,149
500,150
500,150
499,149
500,150
498,148
498,148
497,147
495,145
494,144
492,142
491,141
490,140
489,139
492,142
500,150
515,165
538,188
569,219
604,254
643,293
681,331
716,366
747,397
770,420
785,435
790,440
788,438
777,427
758,408
734,384
704,354
671,321
636,286
601,251
567,217
533,183
503,153
476,126
453,103
435,85
419,69
409,59
401,51
397,47
395,45
395,45
397,47
402,52
409,59
418,68
429,79
443,93
458,108
473,123
489,139
504,154
519,169
532,182
543,193
549,199
554,204
556,206
553,203
550,200
544,194
537,187
527,177
517,167
506,156
496,146
485,135
475,125
467,117
458,108
451,101
445,95
440,90
437,87
436,86
435,85
436,86
437,87
438,88
441,91
444,94
447,97
452,102
457,107
462,112
467,117
471,121
477,127
482,132
485,135
489,139
493,143
497,147
500,150
501,151
502,152
503,153
502,152
502,152
501,151
500,150
499,149
498,148
497,147
496,146
494,144
493,143
491,141
488,138
487,137
484,134
483,133
482,132
481,131
486,136
493,143
509,159
532,182
565,215
602,252
641,291
682,332
720,370
753,403
777,427
794,444
802,452
800,450
789,439
770,420
745,395
714,364
680,330
643,293
607,257
572,222
537,187
505,155
477,127
454,104
433,83
417,67
407,57
399,49
393,43
392,42
391,41
394,44
398,48
405,55
416,66
428,78
442,92
458,108
475,125
492,142
507,157
521,171
536,186
545,195
552,202
557,207
561,211
560,210
556,206
549,199
541,191
532,182
520,170
510,160
498,148
487,137
477,127
467,117
458,108
450,100
443,93
438,88
435,85
433,83
432,82
431,81
432,82
433,83
437,87
441,91
446,96
450,100
455,105
462,112
467,117
472,122
479,129
483,133
488,138
492,142
496,146
498,148
499,149
500,150
500,150
500,150
500,150
498,148
